MinifigNumber,MinifigName,CharacterName,MinifigCategory,AppearsIn,OwnedInSets,OwnedLoose,Notes,Value new (USD),Value used (USD),
sh268,Hobgoblin,Hobgoblin,Super Heroes / Spider-Man,76058-1,1,0,,18.81,10.75,
sh385,Star-Lord - Silver Armor /  Jet Pack,Star-Lord,Super Heroes / Guardians of the Galaxy Vol. 2,76081-1,1,0,,18.64,9.39,
sh386,Nebula - Dark Azure Head /  Torn Outfit,Nebula,Super Heroes / Guardians of the Galaxy Vol. 2,76081-1,1,0,,15.61,10.83,
sh387,Drax - Dark Blue Legs /  Jet Pack,Drax,Super Heroes / Guardians of the Galaxy Vol. 2,76081-1,1,0,,45.97,34.89,
sh388,Gamora - Silver Armor,Gamora,Super Heroes / Guardians of the Galaxy Vol. 2,76081-1,1,0,,13.79,8.68,
sh389,Groot - Baby,Groot,Super Heroes / Guardians of the Galaxy Vol. 2,76081-1,1,0,,13.9,13.85,
sh420,Spider-Man - Black Web Pattern /  Red Torso Small Vest /  Red Boots,Spider-Man,Super Heroes / Spider-Man Homecoming,"40343-1,76082-1,76083-1,76130-1",1,0,,8.91,5.65,
sh421,Masked Robber - Green Mask /  Striped Shirt,Masked Robber,Super Heroes / Spider-Man Homecoming,76082-1,1,0,,4.01,2.38,
sh422,Masked Robber - Blue Mask /  Red Shirt,Masked Robber,Super Heroes / Spider-Man Homecoming,76082-1,1,0,,5.5,2.63,
sh470,Cyborg,Cyborg,Super Heroes / Justice League,76098-1,1,0,,9.48,7.28,
sh471,Reverse Flash (Zoom),Reverse Flash,Super Heroes / Justice League,76098-1,1,0,,69.19,42.06,
sh472,Killer Frost,Killer Frost,Super Heroes / Justice League,76098-1,1,0,,10.84,8.14,
sh473,The Flash - Gold Outlines on Chest,The Flash,Super Heroes / Justice League,"211904-1,76098-1",1,0,,7.85,5.79,
sh494,Black Widow - Black Jumpsuit /  Bright Light Yellow Short Hair /  Printed Legs,Black Widow,Super Heroes / Avengers Infinity War,76101-1,1,0,,4.49,2.89,
sh495,Captain America - Dark Blue Suit /  Dark Brown Hands /  Hair,Captain America,Super Heroes / Avengers Infinity War,76101-1,1,0,,9.34,4.5,
sh505,Outrider - Extended Arms /  Torso with Long Dark Bluish Gray Tips at Neck,Outrider,Super Heroes / Avengers Infinity War,"76101-1,76103-1,76104-1,76124-1,76125-1,76131-1",2,0,,2.42,1.56,
sh536,Spider-Man - Metallic Light Blue Eye Highlights,Spider-Man,Super Heroes / Spider-Man,"76113-1,76114-1,76115-1,76148-1,76150-1,76151-1,76163-1",1,0,,4.02,2.32,
sh540,Spider-Man (Miles Morales) - Red Webbing on Head /  Black Hands,Miles Morales Spider-Man,Super Heroes / Spider-Man,76113-1,1,0,,11.93,6.46,
sh541,Carnage - Long Appendages,Carnage,Super Heroes / Spider-Man,76113-1,1,0,,11.02,7.66,
sh554,Nick Fury (Young),Nick Fury,Super Heroes / Captain Marvel,"30453-1,76127-1",1,0,,2.99,2.21,
sh605,Captain Marvel (Carol Danvers) - 'Vers' Kree Starforce Uniform,Captain Marvel,Super Heroes / Captain Marvel,"30453-1,77902-1",1,0,,3.78,2.54,
sh612,Iron Man - Silver Hexagon on Chest,Iron Man,Super Heroes / Avengers,"242210-1,76140-1,76164-1,76166-1,76170-1",1,0,,4.85,3.11,
sh665,Rescue (Pepper Potts) - Red Armor,Pepper Potts,Super Heroes / Avengers,"242217-1,76164-1",1,0,,8.45,6.56,
sh668,AIM Agent - Night Vision Goggles,AIM Agent,Super Heroes / Avengers,76164-1,1,0,,2.77,2.32,
sh669,AIM Agent - Backpack,AIM Agent,Super Heroes / Avengers,76164-1,1,0,,2.92,2.21,
sh681,Mysterio - Light Bluish Gray Head /  Satin Trans-Light Blue Helmet /  Single Hole Cape,Mysterio,Super Heroes / Spider-Man,76174-1,1,0,,7.56,7.32,
sh682,Ghost Spider / Spider-Gwen - White Basic Smooth Hood,Ghost Spider,Super Heroes / Spider-Man,"76174-1,76178-1,76279-1",1,0,,8.3,8.07,
sh684,Spider-Man - Printed Arms,Spider-Man,Super Heroes / Spider-Man,"242214-1,40454-1,76172-1,76173-1,76174-1,76175-1,76219-1,76275-1,76279-1",1,0,,3.09,2.26,
sh687,Dr. Octopus (Otto Octavius) / Doc Ock - Dark Green Suit /  Neck Bracket,Doctor Octopus,Super Heroes / Spider-Man,76174-1,1,0,,7.36,6.57,
sh699,Katy,Katy,Super Heroes / Shang-Chi,76176-1,1,0,,4.52,3.4,
sh700,Shang-Chi,Shang-Chi,Super Heroes / Shang-Chi,"30454-1,76176-1,76177-1",1,0,,3.47,2.62,
sh701,Wenwu (The Mandarin),Wenwu,Super Heroes / Shang-Chi,"76176-1,76177-1",1,0,,3.97,3.03,
sh702,Razor Fist,Razor Fist,Super Heroes / Shang-Chi,76176-1,1,0,,4.05,3.11,
sh728,Black Panther - Claw Necklace /  Dark Purple and Lavender Highlights,Black Panther,Super Heroes / The Infinity Saga,"76186-1,76192-1",1,0,,4.28,3.36,
sh729,Captain America - Dark Blue Suit /  Reddish Brown Hands /  Hair /  Dark Brown Eyebrows /  Chin Strap,Captain America,Super Heroes / The Infinity Saga,76192-1,1,0,,7.02,6.2,
sh730,Chitauri - Dark Bluish Gray,Chitauri,Super Heroes / The Infinity Saga,"40525-1,76186-1,76192-1,76193-1,76269-1",1,0,,2.05,1.63,
sh731,Iron Man - Mark 85 Armor /  Hair,Iron Man,Super Heroes / The Infinity Saga,"76192-1,76237-1",1,0,,6.23,5.14,
sh732,The Scarlet Witch (Wanda Maximoff) - Plain Black Legs /  Reddish Brown Hair,Scarlet Witch,Super Heroes / The Infinity Saga,76192-1,1,0,,6.45,5.06,
sh733,Thanos - Large Figure /  Medium Lavender Arms Plain /  Dark Bluish Gray Outfit with Gold Armor /  Smile,Thanos,Super Heroes / The Infinity Saga,76192-1,1,0,,16.48,13.88,
sh734,Thor - Long Dark Tan Hair,Thor,Super Heroes / The Infinity Saga,"40525-1,76192-1,76193-1",1,0,,4.48,3.75,
sh742,Rocket Raccoon - Dark Bluish Gray Outfit /  Reddish Brown Head,Rocket Raccoon,Super Heroes / The Infinity Saga,"76193-1,76231-1",1,0,,4.61,3.92,
sh745,Mantis - Black Belt with Clasps,Mantis,Super Heroes / The Infinity Saga,"76193-1,76231-1",1,0,,4.52,4.49,
sh778,Spider-Man - Black and Red Suit /  Large Gold Spider /  Gold Knee Trim (Integrated Suit),Spider-Man,Super Heroes / Spider-Man No Way Home,"76185-1,76261-1,76280-1",1,0,,5.63,5.07,
sh780,Scarecrow /  no Hat,Scarecrow,Super Heroes / The Dark Knight Trilogy,76239-1,1,0,,9.88,6.55,
sh781,Batman - Black Suit with Copper Belt /  Spongy Cape,Batman,Super Heroes / The Dark Knight Trilogy,76239-1,1,0,,9.25,6.29,
sh782,Spider-Man - Black and Red Suit /  Small Black Spider /  Silver Trim (Upgraded Suit),Spider-Man,Super Heroes / Spider-Man No Way Home,"30443-1,76184-1",1,0,,4.56,4.41,
sh786,Batman - Dark Bluish Gray Suit /  Black Belt /  Black Hands /  Spongy Cape with 1 Hole /  Black Boots,Batman,Super Heroes / The Batman,"76179-1,76181-1,76183-1",1,0,,4.1,3.28,
sh790,The Penguin,The Penguin,Super Heroes / The Batman,76181-1,1,0,,4.32,3.43,
sh793,Wong - Dark Red Robe /  Dark Purple Legs,Wong,Super Heroes / Doctor Strange in the Multiverse of Madness,76205-1,1,0,,4.17,3.28,
sh801,America Chavez,America Chavez,Super Heroes / Doctor Strange in the Multiverse of Madness,76205-1,1,0,,4.75,3.69,
sh802,Doctor Strange - Brooch /  Rubber Cape,Doctor Strange,Super Heroes / Doctor Strange in the Multiverse of Madness,"242317-1,30652-1,76205-1,76218-1,76261-1",3,0,,3.89,4.09,
sh834,Star-Lord - Dark Red Legs,Star-Lord,Super Heroes / Guardians of the Galaxy,76231-1,1,0,,3.09,2.57,
sh835,Nebula - Holiday Sweater,Nebula,Super Heroes / Guardians of the Galaxy,76231-1,1,0,,3.2,3.56,
sh836,Groot /  Teen Groot - Dark Tan with Neck Bracket,Groot,Super Heroes / Guardians of the Galaxy,76231-1,1,0,,4.5,3.98,
sh837,Drax - Holiday Sweater,Drax,Super Heroes / Guardians of the Galaxy,76231-1,1,0,,3.6,3.5,
sh873,Star-Lord - Dark Blue Suit,Star-Lord,Super Heroes / Guardians of the Galaxy Vol. 3,"242402-1,76253-1,76255-1",2,0,,2.97,3.38,
sh874,Groot /  Teen Groot - Dark Tan with Shoulder Armor,Groot,Super Heroes / Guardians of the Galaxy Vol. 3,76253-1,1,0,,3.78,3.76,
sh876,Nebula - Dark Blue Suit,Nebula,Super Heroes / Guardians of the Galaxy Vol. 3,76255-1,1,0,,6.97,7.07,
sh877,Adam Warlock,Adam Warlock,Super Heroes / Guardians of the Galaxy Vol. 3,76255-1,1,0,,21.25,22.49,
sh878,Mantis - Dark Blue Suit,Mantis,Super Heroes / Guardians of the Galaxy Vol. 3,76255-1,1,0,,6.48,7.01,
sh879,Drax - Dark Blue Suit,Drax,Super Heroes / Guardians of the Galaxy Vol. 3,76255-1,1,0,,7.41,8.42,
sh880,Batman - One Piece Cowl and Cape with Simple Bat Logo (1992),Batman,Super Heroes / Tim Burton's Batman,"212330-1,30653-1,76252-1",1,0,,3.89,4.13,
sh888,Green Goblin - Green Outfit without Mask /  Dark Brown Hair,Green Goblin,Super Heroes / Spider-Man No Way Home,76261-1,1,0,,6.64,10.49,
sh889,The Amazing Spider-Man,Spider-Man,Super Heroes / Spider-Man No Way Home,76261-1,1,0,,12.26,16.52,
sh890,Dr. Octopus (Otto Octavius) / Doc Ock - Dark Bluish Gray Outfit /  Mechanical Arms,Doctor Octopus,Super Heroes / Spider-Man No Way Home,76261-1,1,0,,8.17,12.2,
sh891,Electro - Black and Dark Tan Outfit /  Medium Brown Head /  Large Electricity Wings,Electro,Super Heroes / Spider-Man No Way Home,76261-1,1,0,,8.46,,
sh892,Friendly Neighborhood Spider-Man,Spider-Man,Super Heroes / Spider-Man No Way Home,76261-1,1,0,,10.73,14.68,
sh893,Ned Leeds - Red and Yellow Letter Jacket /  Sand Blue Legs,Ned Leeds,Super Heroes / Spider-Man No Way Home,76261-1,1,0,,3.04,3,
sh894,MJ (Michelle Jones) - Dark Tan Striped Sweater /  Dark Brown Wavy Hair,MJ,Super Heroes / Spider-Man No Way Home,76261-1,1,0,,2.65,3.92,
soc055,Soccer Player - Red and Blue Team Goalie with Number 1,-,Sports / Soccer,"3420-1,3420-2,3420-3,3421-1,3422-1,3422-2,3425-1,3425-2",1,0,,7.9,1.42,
soc081,Soccer Player White & Blue Team with shirt #2,-,Sports / Soccer,"3420-1,3420-2,3425-2",1,0,,2.29,1.25,
soc082,Soccer Player White & Blue Team with shirt #4,-,Sports / Soccer,"3420-1,3420-2,3421-1,3425-2",1,0,,6.48,1.12,
soc083,Soccer Player White & Blue Team with shirt #9,-,Sports / Soccer,"3420-1,3420-2,3422-1,3422-2,3425-2",1,0,,2.09,1.3,
soc084,Soccer Player White & Blue Team with shirt #10,-,Sports / Soccer,"3420-1,3420-2,3425-2",1,0,,2.17,1.17,
soc085,Soccer Player White & Blue Team with shirt #11,-,Sports / Soccer,"1430-1,3420-1,3420-2,3423-1,3425-2",2,0,,2.28,1.02,
soc086,Soccer Player - Red and White Team with Number 2,-,Sports / Soccer,"3420-1,3420-2,3425-2",1,0,,3.72,1.65,
soc087,Soccer Player - Red and White Team with Number 4,-,Sports / Soccer,"3420-1,3420-2,3425-2",1,0,,3,1.34,
soc088,Soccer Player - Red and White Team with Number 9,-,Sports / Soccer,"3420-1,3420-2,3421-1,3425-2",1,0,,3.72,1.36,
soc089,Soccer Player - Red and White Team with Number 10,-,Sports / Soccer,"1428-1,3420-1,3420-2,3425-2",1,0,,2.74,1.28,
soc090,Soccer Player - Red and White Team with Number 11,-,Sports / Soccer,"3420-1,3420-2,3421-1,3425-2",1,0,,6.37,1.45,
soc091,Soccer Player - Red and White Team with Number 18,-,Sports / Soccer,"3424-1,3425-2",1,0,,2.99,1.3,
soc094,Soccer Player White & Blue Team with shirt #18,-,Sports / Soccer,"3421-1,3425-2",1,0,,1.49,1.48,
soc098,Soccer Player White Team Goalie with #1,-,Sports / Soccer,"1429-1,3420-1,3420-2,3420-3,3421-1,3423-1,3425-1,3425-2",2,0,,1.99,1.02,
soc106,Soccer Player White & Blue Team with shirt #5,-,Sports / Soccer,3425-2,1,0,,,5.32,
soc135,Soccer Player - Red and White Team with Number 5,-,Sports / Soccer,3425-2,1,0,,,5.16,
soc136,Soccer Player - Red and White Team with Number 8,-,Sports / Soccer,3425-2,1,0,,7.99,2,
soc137,Soccer Player - Red and White Team with Number 14,-,Sports / Soccer,3425-2,1,0,,7.99,2.6,
soc138,Soccer Player - Red and White Team with Number 7,-,Sports / Soccer,3425-2,1,0,,3.5,4.21,
soc139,Soccer Player White & Blue Team with shirt #14,-,Sports / Soccer,3425-2,1,0,,,2.18,
soc140,Soccer Player White & Blue Team with shirt #7,-,Sports / Soccer,3425-2,1,0,,6.29,5.48,
soc141,Soccer Player White & Blue Team with shirt #8,-,Sports / Soccer,3425-2,1,0,,,4.71,
sp008,Exploriens - Dark Gray Helmet and Radio Torso,-,Space / Exploriens,"1737-1,6856-1,6899-1,6938-1,6958-1,6982-1",4,0,,5.87,2.42,
sp009,Exploriens Chief,-,Space / Exploriens,"6815-1,6958-1,6982-1",1,0,,5.45,2.57,
sp012,Exploriens - Helmet with Breathing Apparatus and Hose Torso,-,Space / Exploriens,"1737-1,6854-1,6899-1,6938-1,6982-1",3,0,,4.83,2.46,
sp018,Ice Planet - Male,-,Space / Ice Planet 2002,"1711-1,1731-1,3014-1,6814-1,6879-1,6898-1,6973-1,6983-1",1,0,,14.88,3.56,
spd001a,Spider-Man 1 - Blue Arms and Legs /  Silver Webbing /  Neck Bracket,Spider-Man,Spider-Man / Spider-Man 1,1376-1,1,0,,136.34,54.14,
spd002,Peter Parker 1 - Jacket Blue /  Black Legs /  Brown Male Hair,Peter Parker,Spider-Man / Spider-Man 1,1376-1,1,0,,15.99,5.41,
spd004,Mary Jane 1,Mary Jane Watson,Spider-Man / Spider-Man 1,1374-1,1,0,,8.07,4.1,
spd005a,Green Goblin with Neck Bracket,Green Goblin,Spider-Man / Spider-Man 1,1374-1,1,0,,94.49,41.94,
spd011,Criminal,Dennis Carradine,Spider-Man / Spider-Man 1,4850-1,1,0,,7.5,4.8,
spd012,Spider-Man 2 - Balaclava Face,Spider-Man,Spider-Man / Spider-Man 1,4850-1,1,0,,141.7,56.9,
spd017,J. Jonah Jameson - Vest with Striped Tie /  Flat Top Hair,J. Jonah Jameson,Spider-Man / Spider-Man 2,4855-1,1,0,,8.99,6.27,
spd027,Dr. Octopus (Otto Octavius) / Doc Ock /  Sand Green Jacket /  Sand Green Legs /  Clenched Teeth Smile - With Arms,Doctor Octopus,Spider-Man / Spider-Man 2,4855-1,1,0,,61.38,39.05,
spd028,Spider-Man 3 - Dark Blue Arms and Legs /  Silver Webbing,Spider-Man,Spider-Man / Spider-Man 2,"4853-1,4854-1,4855-1,4856-1,4857-1",1,0,,57.8,31.96,
spd030,Subway Train Conductor,Subway Train Conductor,Spider-Man / Spider-Man 2,4855-1,1,0,,10.87,5.92,
sr001,Speed Racer /  Blue Pullover,Speed Racer,Speed Racer / General,8158-1,1,0,,7,7.96,
sr002,Snake Oiler,Snake Oiler,Speed Racer / General,8158-1,1,0,,6.27,3.05,
sr003,Racer X,Racer X,Speed Racer / General,"8159-1,8160-1",1,0,,8.99,3.48,
sr004,Taejo Togokahn /  White Suit,Taejo Togokahn,Speed Racer / General,8159-1,1,0,,8.36,2.76,
stu002,Director,-,Studios / General,"1349-1,1352-1,1356-1,1360-1,1376-1,1382-1,1411-1,1421-1,4049-1,4052-1,4059-1",1,0,,5.02,1.7,
stu009,Pilot,-,Studios / General,"1349-1,1371-1,1376-1",1,0,,2.91,1.5,
sw0001d,Battle Droid - Tan /  Straight Arms,Battle Droid,Star Wars / Star Wars The Clone Wars,"75372-1,7678-1",1,0,,1.63,1.66,
sw0003,Darth Maul - Hood and Cape /  Sash without Pouch,Darth Maul,Star Wars / Star Wars Episode 1,"3340-1,7101-1,7151-1,7663-1,852551-1",1,0,,19.85,9.75,
sw0004,Darth Vader (Light Gray Head),Darth Vader,Star Wars / Star Wars Episode 4/5/6,"10123-1,3340-1,7150-1,7152-1,7200-1",1,0,,46.98,13.39,
sw0005,Imperial Scout Trooper - Yellow Head /  Dark Gray Torso Print,Scout Trooper,Star Wars / Star Wars Episode 4/5/6,"3342-1,7128-1,7139-1",1,0,,8.09,4.17,
sw0010,C-3PO - Pearl Light Gold,C-3PO,Star Wars / Star Wars Episode 4/5/6,"10144-1,4475-1,4504-1,7106-1,7190-1",1,0,,9.7,6.45,
sw0011,Chewbacca (Brown),Chewbacca,Star Wars / Star Wars Episode 4/5/6,"3342-1,7127-1,7190-1",1,0,,9.91,5.27,
sw0012a,Dak Ralter (with Dark Bluish Gray Hips),Dak Ralter,Star Wars / Star Wars Episode 4/5/6,4500-1,1,0,,8.61,3.67,
sw0013,Gungan Soldier,Gungan Warrior,Star Wars / Star Wars Episode 1,7115-1,1,0,,12.97,6.92,
sw0017,Jar Jar Binks,Jar Jar Binks,Star Wars / Star Wars Episode 1,"7115-1,7121-1,7159-1,7161-1,7171-1",1,0,,7.88,4.24,
sw0019a,Luke Skywalker (Pilot with Dark Bluish Gray Hips),Luke Skywalker,Star Wars / Star Wars Episode 4/5/6,4500-1,1,0,,11.21,4.83,
sw0021,Luke Skywalker (Tatooine),Luke Skywalker,Star Wars / Star Wars Episode 4/5/6,"4501-1,7110-1,7190-1",1,0,,8.31,4.97,
sw0023,Obi-Wan Kenobi with Light Gray Hair (Old),Obi-Wan Kenobi,Star Wars / Star Wars Episode 4/5/6,7110-1,1,0,,13.76,5.64,
sw0027,Qui-Gon Jinn (Yellow Head),Qui-Gon Jinn,Star Wars / Star Wars Episode 1,"7101-1,7121-1,7161-1,7171-1,7204-1",1,0,,13.14,6.21,
sw0028,Astromech Droid /  R2-D2,R2-D2,Star Wars / General,"10144-1,4475-1,4502-1,6212-1,7106-1,7140-1,7141-1,7142-1,7171-1,7190-1,7191-1,7660-1,7669-1,7680-1",1,0,,5.78,2.35,
sw0029,Astromech Droid /  R5-D4 /  Short Red Stripes on Dome,R5-D4,Star Wars / General,"10134-1,7150-1,7152-1,7180-1,7259-1,7262-1,7658-1",1,0,,7.72,3.98,
sw0030,Rebel Engineer,Rebel Engineer,Star Wars / Star Wars Episode 4/5/6,7134-1,1,0,,11.75,5.36,
sw0031,Rebel Pilot A-wing - Yellow Head /  Trans-Yellow Visor /  Green Jumpsuit,Rebel Pilot,Star Wars / Star Wars Episode 4/5/6,7134-1,1,0,,11.15,5.17,
sw0036,Imperial Stormtrooper - Yellow Head,Stormtrooper,Star Wars / Star Wars Episode 4/5/6,"10123-1,7139-1,7146-1,7201-1",1,0,,10.61,6.86,
sw0041,Emperor Palpatine - Yellow Head /  Yellow Hands,Palpatine,Star Wars / Star Wars Episode 4/5/6,"3340-1,7166-1,7200-1",1,0,,19.2,8.66,
sw0047,Security Battle Droid - Dark Red Torso with Tan Insignia /  Angled Arms,Battle Droid Security,Star Wars / Star Wars Episode 1,7204-1,1,0,,9.94,3.81,
sw0048,Battle Droid Commander - Tan with Line /  Angled Arms,Battle Droid Commander,Star Wars / Star Wars Episode 1,"3343-1,7204-1",1,0,,21.13,5.64,
sw0050,Ewok /  Brown Hood (Wicket),Wicket W. Warrick,Star Wars / Star Wars Episode 4/5/6,7139-1,1,0,,11.03,7.77,
sw0051,Yoda - Sand Green,Yoda,Star Wars / General,"4502-1,7103-1,7260-1",1,0,,22.74,10.51,
sw0055,Obi-Wan Kenobi (Young with Dark Orange Hair and Headset),Obi-Wan Kenobi,Star Wars / Star Wars Episode 2,7143-1,1,0,,10.87,6.99,
sw0055a,Obi-Wan Kenobi (Young with Dark Orange Hair /  without Headset),Obi-Wan Kenobi,Star Wars / Star Wars Episode 2,7133-1,1,0,,12.98,9.81,
sw0059,Zam Wesell,Zam Wesell,Star Wars / Star Wars Episode 2,7133-1,1,0,,90.31,70.12,
sw0060,Count Dooku,Count Dooku,Star Wars / Star Wars Episode 2,7103-1,1,0,,48.7,19.87,
sw0061,Battle Droid Geonosian,Battle Droid,Star Wars / Star Wars Episode 2,4478-1,2,0,,30.34,22.06,
sw0062,Geonosian - Dark Gray,Geonosian,Star Wars / Star Wars Episode 2,4478-1,1,0,,18.32,9.75,
sw0063,Droideka (Destroyer Droid) - Brown /  Light Gray /  and Dark Gray,Droideka,Star Wars / General,"7163-1,7203-1",2,0,,19.88,9.84,
sw0067,Ewok /  Tan Hood (Paploo),Paploo,Star Wars / Star Wars Episode 4/5/6,7139-1,1,0,,10.2,7.54,
sw0069,Obi-Wan Kenobi (Young with Padawan Braid Pattern),Obi-Wan Kenobi,Star Wars / Star Wars Episode 1,7203-1,1,0,,32.98,9.43,
sw0076,Bib Fortuna - Cape /  Tan Skin,Bib Fortuna,Star Wars / Star Wars Episode 4/5/6,4475-1,1,0,,32.5,18.69,
sw0078,Geonosian with Wings,Geonosian Warrior,Star Wars / Star Wars Episode 2,4478-1,1,0,,26.56,23.29,
sw0096,Security Battle Droid - Dark Red Torso /  Angled Arm and Straight Arm,Battle Droid Security,Star Wars / General,"7662-1,9494-1,9509-1",1,0,,4.37,2.59,
sw0100,Anakin Skywalker (Padawan) - Yellow Head,Anakin Skywalker,Star Wars / Star Wars Episode 2,7133-1,1,0,,15.99,8.77,
sw0108,Hoth Rebel (Yellow Head /  White Visor Goggles),Hoth Rebel Trooper,Star Wars / Star Wars Episode 4/5/6,4500-1,1,0,,5.4,4.67,
sw0118,Clone Trooper V-wing Pilot (Phase 2) - Sand Blue Arms and Legs /  Black Head,Clone Pilot,Star Wars / Star Wars Episode 3,"6205-1,7259-1",3,0,,11.5,5.82,
sw0120,Anakin Skywalker - Black Right Hand,Anakin Skywalker,Star Wars / Star Wars Episode 3,"7256-1,7283-1",1,0,,16.32,7.03,
sw0216a,EV-A4-D without Sticker,EV-A4-D,Star Wars / Star Wars The Clone Wars,8095-1,1,0,,15.01,7.03,
sw0217,Astromech Droid /  R2-D2 /  Light Bluish Gray Head,R2-D2,Star Wars / General,"10188-1,10198-1,10225-1,10240-1,7877-1,8038-1,8092-1,9490-1,9493-1,9494-1",1,0,,4.01,2.03,
sw0226,Nahdar Vebb,Nahdar Vebb,Star Wars / Star Wars The Clone Wars,8095-1,1,0,,11.7,7.73,
sw0254,General Grievous - Bent Legs /  Tan Armor,General Grievous,Star Wars / Star Wars The Clone Wars,"8095-1,9515-1",1,0,,32.94,24.69,
sw0361,Anakin Skywalker (Sith Face),Darth Vader,Star Wars / Star Wars Episode 3,9494-1,1,0,,38.71,17.04,
sw0362,Obi-Wan Kenobi (Dark Tan Legs),Obi-Wan Kenobi,Star Wars / Star Wars Episode 3,9494-1,1,0,,9.95,5.31,
sw0363,Nute Gunray - Orange Robe,Nute Gunray,Star Wars / Star Wars Episode 3,9494-1,1,0,,22.69,13.27,
sw0515,General Grievous - Bent Legs /  White Armor,General Grievous,Star Wars / General,"75040-1,75199-1,75286-1",1,0,,29.49,21.76,
sw0521,Royal Guard with Dark Red Arms and Hands,Royal Guard,Star Wars / Star Wars Episode 4/5/6,"75034-1,75093-1",2,0,,6.75,4.53,
sw0526,Anakin Skywalker (Dark Brown Legs /  Headset),Anakin Skywalker,Star Wars / Star Wars Episode 3,75038-1,1,0,,26.15,9.09,
sw0527,Astromech Droid /  R2-D2 /  Flat Silver Head /  Red Dots and Small Receptor,R2-D2,Star Wars / General,"75038-1,75059-1,75092-1,75096-1,SDCC2015-2",1,0,,4.91,2.5,
sw0527a,Astromech Droid /  R2-D2 /  Flat Silver Head /  Lavender Dots and Small Receptor,R2-D2,Star Wars / General,"4002019-1,75136-1,75159-1,75168-1,75214-1,75218-1,75221-1,75222-1,75228-1,75235-1,75244-1,75257-1,75522-1,912057-1",1,0,,3.58,2.19,
sw0532,Chewbacca - Medium Nougat Fur,Chewbacca,Star Wars / General,"40658-1,75042-1,75094-1,75105-1,75159-1,75174-1,75180-1,75192-1,75193-1,75222-1,75234-1,75245-1,75257-1,75290-1,75339-1,75365-1,75371-1,912404-1",1,0,,4.33,3.29,26
sw0535,Obi-Wan Kenobi (Dark Tan Printed Legs),Obi-Wan Kenobi,Star Wars / Star Wars Episode 3,75040-1,1,0,,12.83,6.51,
sw0552,Obi-Wan Kenobi (Dark Brown Hooded Coat),Obi-Wan Kenobi,Star Wars / Star Wars Episode 4/5/6,"75052-1,75159-1,75173-1,75221-1",1,0,,10.29,7.3,
sw0585,Imperial Stormtrooper - Printed Legs /  Dark Blue Helmet Vents,Stormtrooper,Star Wars / General,"75055-1,75060-1,75097-1,75146-1,75159-1,75165-1,75172-1,75186-1,75222-1",2,0,,8.82,6.08,
sw0620,Tusken Raider - Head Spikes /  Crossed Belts,Tusken Raider,Star Wars / Star Wars Episode 4/5/6,"75081-1,75173-1,75198-1",1,0,,6.03,3.91,
sw0634,Emperor Palpatine,Palpatine,Star Wars / Star Wars Episode 4/5/6,75093-1,1,0,,13.37,8.36,
sw0635,Luke Skywalker - Jedi Master /  Dark Tan Smooth Hair,Luke Skywalker,Star Wars / Star Wars Episode 4/5/6,"75093-1,75146-1,75159-1,75291-1,75302-1",1,0,,6.71,3.9,
sw0636,Darth Vader (Type 2 Helmet),Darth Vader,Star Wars / Star Wars Episode 4/5/6,75093-1,1,0,,16.97,13.78,
sw0655,Unkar's Thug,Unkar's Thug,Star Wars / Star Wars Episode 7,"75099-1,75184-1",1,0,,3.23,2.23,
sw0657,First Order Snowtrooper with Kama,First Order Snowtrooper,Star Wars / General,"75100-1,75202-1",2,0,,5.73,3.87,
sw0661,BB-8 (Small Photoreceptor),BB-8,Star Wars / General,"75102-1,75105-1,75148-1,75149-1,75176-1,75178-1,75187-1,75192-1,75201-1",1,0,,3.94,2.86,
sw0666,First Order Flametrooper,First Order Flametrooper,Star Wars / Star Wars Episode 7,"75103-1,75149-1,75166-1,75177-1",1,0,,5.62,3.98,
sw0667,First Order Stormtrooper (Rounded Mouth Pattern),First Order Stormtrooper,Star Wars / General,"75103-1,75132-1,75139-1,75166-1,75179-1,75184-1,75189-1,75190-1",3,0,,4.79,3.09,
sw0671,First Order Crew Member (Fleet Engineer / Gunner) - Light Nougat Head,First Order Crew Member,Star Wars / General,"75101-1,75104-1,75132-1,75177-1,75197-1",1,0,,3.32,2.24,
sw0673,Kanjiklub Gang Member (Crokind Shand),Crokind Shand,Star Wars / Star Wars Episode 7,75105-1,1,0,,5.93,4.21,
sw0674,Tasu Leech,Tasu Leech,Star Wars / Star Wars Episode 7,75105-1,1,0,,7.29,5.19,
sw0675,Han Solo /  Old (Lopsided Grin),Han Solo,Star Wars / Star Wars Episode 7,75105-1,1,0,,10.75,6.76,
sw0676,Finn - Medium Nougat Jacket /  Black Legs,Finn,Star Wars / Star Wars Episode 7,"75105-1,75139-1,75178-1,75192-1,911834-1",1,0,,3.85,2.42,
sw0677,Rey - Dark Tan Tied Robe,Rey,Star Wars / Star Wars Episode 7,"75099-1,75105-1,75148-1,75178-1,75192-1,75236-1",2,0,,4.91,2.91,
sw0694,First Order Crew Member - Cap with Insignia,First Order Crew Member,Star Wars / Star Wars Episode 7,75132-1,1,0,,3.37,2.52,
sw0695,First Order Heavy Assault Stormtrooper (Rounded Mouth Pattern),First Order Stormtrooper,Star Wars / Star Wars Episode 7,75132-1,1,0,,5.22,3.5,
